City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
233,Leh,IN,2022-12-15 22:43:16,34.1667,77.5833,15.26,44,75,2.06
234,Iqaluit,CA,2022-12-15 22:43:16,63.7506,-68.5145,19.13,79,100,0.0
235,Korla,CN,2022-12-15 22:39:14,41.7597,86.1469,18.07,66,3,5.5
236,Bowen,AU,2022-12-15 22:43:17,-20.0167,148.2333,82.13,72,12,12.1
237,Port Elizabeth,ZA,2022-12-15 22:43:17,-33.918,25.5701,71.31,96,100,3.44
238,San Cristobal,VE,2022-12-15 22:43:17,7.7669,-72.225,75.38,88,41,2.57
239,Caravelas,BR,2022-12-15 22:43:18,-17.7125,-39.2481,67.84,97,100,2.8
240,Culfa,AZ,2022-12-15 22:43:18,38.9558,45.6308,35.47,80,5,1.45
241,Lavrentiya,RU,2022-12-15 22:43:18,65.5833,-171.0,-4.59,89,37,4.47
242,Asau,RO,2022-12-15 22:43:18,46.4333,26.4,27.52,92,31,2.59
243,Chapais,CA,2022-12-15 22:43:19,49.7834,-74.8492,24.58,89,10,11.27
244,Kutum,SD,2022-12-15 22:43:19,14.2,24.6667,59.54,33,64,8.21
245,Coquimbo,CL,2022-12-15 22:43:17,-29.9533,-71.3436,65.93,77,0,10.36
246,Kuusamo,FI,2022-12-15 22:43:19,65.9667,29.1833,15.84,92,100,10.36
247,Puerto Penasco,MX,2022-12-15 22:38:38,31.3167,-113.5333,61.5,30,57,9.98
248,Batemans Bay,AU,2022-12-15 22:43:20,-35.7167,150.1833,60.1,45,46,12.48
249,Sven,RU,2022-12-15 22:43:20,53.1822,34.5511,28.51,95,100,10.02
250,Poretskoye,RU,2022-12-15 22:43:21,55.1974,46.3291,20.77,92,100,10.22
251,Yerbogachen,RU,2022-12-15 22:43:21,61.2767,108.0108,-1.84,96,100,8.12
252,Sobolevo,RU,2022-12-15 22:43:21,54.4299,31.8996,19.99,92,96,10.96
253,Geraldton,AU,2022-12-15 22:43:21,-28.7667,114.6,72.01,49,0,10.36
254,Shubarshi,KZ,2022-12-15 22:43:22,48.5872,57.1869,13.46,85,93,5.21
255,Buchanan,LR,2022-12-15 22:43:22,5.8808,-10.0467,78.89,80,15,6.29
256,Aksha,RU,2022-12-15 22:43:22,50.2814,113.2867,-6.25,69,99,15.03
257,Kaitangata,NZ,2022-12-15 22:43:23,-46.2817,169.8464,64.53,74,97,4.45
258,Tezu,IN,2022-12-15 22:43:23,27.9167,96.1667,60.22,68,62,2.62
259,Arman,RU,2022-12-15 22:43:23,59.7,150.1667,-2.09,72,59,24.34
260,Brzeg,PL,2022-12-15 22:43:24,50.8608,17.4674,23.11,95,100,5.64
261,Mikhaylovka,RU,2022-12-15 22:43:24,50.06,43.2379,23.79,93,100,8.88
262,Nortelandia,BR,2022-12-15 22:43:24,-14.4547,-56.8028,74.05,94,98,4.92
263,Mersing,MY,2022-12-15 22:43:25,2.4312,103.8405,75.11,94,40,5.75
264,Bambous Virieux,MU,2022-12-15 22:43:25,-20.3428,57.7575,75.45,83,40,10.36
265,Sao Lourenco Da Serra,BR,2022-12-15 22:43:25,-23.8525,-46.9425,70.0,97,33,3.04
266,Catemaco,MX,2022-12-15 22:43:26,18.4167,-95.1167,70.81,89,85,6.02
267,Sokolovyy,RU,2022-12-15 22:43:26,51.5686,45.8331,20.34,86,100,5.06
268,Alice Springs,AU,2022-12-15 22:43:26,-23.7,133.8833,67.55,28,100,8.05
269,Shivrajpur,IN,2022-12-15 22:43:27,22.4167,73.65,71.31,63,88,4.09
270,Provideniya,RU,2022-12-15 22:43:27,64.3833,-173.3,12.31,79,100,6.71
271,Paamiut,GL,2022-12-15 22:43:27,61.994,-49.6678,21.88,69,97,7.2
272,Qeshm,IR,2022-12-15 22:43:27,26.9581,56.2719,60.69,43,0,3.27
273,Ahipara,NZ,2022-12-15 22:43:28,-35.1667,173.1667,72.73,67,100,5.86
274,Hualmay,PE,2022-12-15 22:43:28,-11.0964,-77.6139,71.44,79,100,8.81
275,East London,ZA,2022-12-15 22:43:28,-33.0153,27.9116,68.38,84,40,3.8
276,Catuday,PH,2022-12-15 22:43:29,16.2923,119.8062,78.35,79,97,9.93
277,Wesselsbron,ZA,2022-12-15 22:43:29,-27.8549,26.3658,66.67,55,100,5.39
278,Laguna,US,2022-12-15 22:43:29,38.421,-121.4238,57.31,63,0,5.75
279,Buraydah,SA,2022-12-15 22:44:30,26.326,43.975,59.45,48,8,9.28
280,Kirakira,SB,2022-12-15 22:44:30,-10.4544,161.9205,85.59,66,6,3.83
281,Muros,ES,2022-12-15 22:44:30,42.7762,-9.0603,53.1,95,100,7.05
282,Bonavista,CA,2022-12-15 22:44:30,48.6499,-53.1147,35.55,96,100,32.84
283,Vaitape,PF,2022-12-15 22:44:31,-16.5167,-151.75,80.28,78,94,18.23
284,Ilulissat,GL,2022-12-15 22:44:31,69.2167,-51.1,26.62,100,75,13.8
285,Sorland,NO,2022-12-15 22:44:31,67.667,12.6934,30.06,41,100,17.43
286,Constitucion,CL,2022-12-15 22:44:32,-35.3333,-72.4167,66.83,63,3,17.25
287,Sola,VU,2022-12-15 22:44:32,-13.8833,167.55,81.61,64,46,12.97
288,Half Moon Bay,US,2022-12-15 22:42:55,37.4636,-122.4286,58.8,53,0,6.91
289,Hurghada,EG,2022-12-15 22:44:32,27.2574,33.8129,66.24,48,0,8.05
290,Tromso,NO,2022-12-15 22:44:33,69.6496,18.957,28.42,80,75,3.44
291,Esqueda,MX,2022-12-15 22:44:33,30.7167,-109.5833,57.07,18,6,3.91
